time,close,volume
2024-02-02 00:00:00,2304.28,0.7732
2024-02-02 00:00:01,2304.29,0.2767
2024-02-02 00:00:02,2304.29,0.0257
2024-02-02 00:00:03,2304.28,1.1816
2024-02-02 00:00:04,2304.48,33.7067
2024-02-02 00:00:05,2304.56,5.1773
2024-02-02 00:00:06,2304.57,0.0411
2024-02-02 00:00:07,2304.57,0.0273
2024-02-02 00:00:08,2304.56,0.023
2024-02-02 00:00:09,2304.56,0.0072
2024-02-02 00:00:10,2304.69,3.5616
2024-02-02 00:00:11,2304.68,0.1742
2024-02-02 00:00:12,2304.68,0.0294
2024-02-02 00:00:13,2304.69,0.0034
2024-02-02 00:00:14,2304.69,0.9422
2024-02-02 00:00:15,2304.69,0.0
2024-02-02 00:00:16,2304.69,0.3376
2024-02-02 00:00:17,2304.69,0.0
2024-02-02 00:00:18,2304.69,1.7338
2024-02-02 00:00:19,2304.69,0.2184
2024-02-02 00:00:20,2304.82,7.4805
2024-02-02 00:00:21,2304.84,0.3069
2024-02-02 00:00:22,2304.85,0.0559
2024-02-02 00:00:23,2304.86,0.1855
2024-02-02 00:00:24,2304.85,0.0092
2024-02-02 00:00:25,2304.85,0.0
2024-02-02 00:00:26,2305.0,3.747
2024-02-02 00:00:27,2305.0,0.0096
2024-02-02 00:00:28,2305.0,0.8318
2024-02-02 00:00:29,2305.0,1.2406
2024-02-02 00:00:30,2304.99,3.1672
2024-02-02 00:00:31,2305.0,0.5795
2024-02-02 00:00:32,2305.0,0.0
2024-02-02 00:00:33,2305.0,0.0233
2024-02-02 00:00:34,2304.99,0.9209
2024-02-02 00:00:35,2305.0,0.4736
2024-02-02 00:00:36,2305.0,0.7291
2024-02-02 00:00:37,2305.0,0.0
2024-02-02 00:00:38,2305.0,10.036
2024-02-02 00:00:39,2305.0,5.0056
2024-02-02 00:00:40,2304.54,8.4687
2024-02-02 00:00:41,2304.5,0.9056
2024-02-02 00:00:42,2304.5,0.0
2024-02-02 00:00:43,2304.66,0.2639
2024-02-02 00:00:44,2304.73,0.0726
2024-02-02 00:00:45,2304.81,0.0347
2024-02-02 00:00:46,2304.82,0.01
2024-02-02 00:00:47,2304.81,61.5128
2024-02-02 00:00:48,2304.82,0.1139
2024-02-02 00:00:49,2304.81,0.1169
2024-02-02 00:00:50,2304.81,0.0
2024-02-02 00:00:51,2304.82,0.1445
2024-02-02 00:00:52,2304.77,41.0563
2024-02-02 00:00:53,2304.77,0.4639
2024-02-02 00:00:54,2304.78,1.3922
2024-02-02 00:00:55,2304.78,0.558
2024-02-02 00:00:56,2304.78,0.0185
2024-02-02 00:00:57,2304.86,1.5383
2024-02-02 00:00:58,2304.93,6.9605
2024-02-02 00:00:59,2304.93,1.3573
2024-02-02 00:01:00,2304.92,1.7201
2024-02-02 00:01:01,2305.13,35.9033
2024-02-02 00:01:02,2305.13,8.1929
2024-02-02 00:01:03,2305.13,0.326
2024-02-02 00:01:04,2304.99,3.6473
2024-02-02 00:01:05,2304.97,2.6728
2024-02-02 00:01:06,2304.96,0.5373
2024-02-02 00:01:07,2304.84,0.8919
2024-02-02 00:01:08,2304.84,0.2563
2024-02-02 00:01:09,2304.84,0.0
2024-02-02 00:01:10,2304.82,2.7033
2024-02-02 00:01:11,2304.81,0.4651
2024-02-02 00:01:12,2304.76,8.109
2024-02-02 00:01:13,2304.31,2.7429
2024-02-02 00:01:14,2304.04,17.375
2024-02-02 00:01:15,2303.87,2.5666
2024-02-02 00:01:16,2303.87,0.005
2024-02-02 00:01:17,2303.87,1.115
2024-02-02 00:01:18,2303.86,0.0101
2024-02-02 00:01:19,2303.86,0.1343
2024-02-02 00:01:20,2303.57,23.099
2024-02-02 00:01:21,2303.36,1.7836
2024-02-02 00:01:22,2303.36,0.0032
2024-02-02 00:01:23,2303.36,0.0
2024-02-02 00:01:24,2302.86,71.3789
2024-02-02 00:01:25,2302.86,24.3123
2024-02-02 00:01:26,2302.85,0.186
2024-02-02 00:01:27,2302.85,0.0
2024-02-02 00:01:28,2302.86,0.0093
2024-02-02 00:01:29,2302.86,0.0
2024-02-02 00:01:30,2303.08,87.6585
2024-02-02 00:01:31,2302.98,0.0373
2024-02-02 00:01:32,2302.91,0.0203
2024-02-02 00:01:33,2302.89,0.4023
2024-02-02 00:01:34,2302.9,0.0083
2024-02-02 00:01:35,2302.89,2.1029
2024-02-02 00:01:36,2302.9,8.4825
2024-02-02 00:01:37,2302.96,5.4576
2024-02-02 00:01:38,2302.98,0.1128
2024-02-02 00:01:39,2302.98,0.0
2024-02-02 00:01:40,2302.97,0.0422
2024-02-02 00:01:41,2302.98,0.0216
2024-02-02 00:01:42,2302.98,1.0825
2024-02-02 00:01:43,2302.98,0.0
2024-02-02 00:01:44,2302.98,0.0
2024-02-02 00:01:45,2302.98,0.0438
2024-02-02 00:01:46,2302.97,0.5526
2024-02-02 00:01:47,2302.97,0.6058
2024-02-02 00:01:48,2302.97,0.6067
2024-02-02 00:01:49,2302.97,0.9024
2024-02-02 00:01:50,2302.98,0.0557
2024-02-02 00:01:51,2302.97,0.0127
2024-02-02 00:01:52,2302.98,0.3856
